Age,age,Int64,
Blood Pressure,bp,Int64,
Specific Gravity,sg,Nominal,1.005/1.010/1.015/1.020/1.025
Albumin,al,Nominal,0/1/2/3/4/5
Sugar,su,Nominal,0/1/2/3/4/5
Red Blood Cells,rbc,Nominal,normal/abnormal
Pus Cell,pc,Nominal,normal/abnormal
Pus Cell Clumps,pcc,Nominal,present/notpresent
Bacteria,ba,Nominal,present/notpresent
Blood Glucose Random,bgr,Int64,
Blood Urea,bu,Float64,
Serum Creatine,sc,Float64,
Sodium,sod,Float64,
Potassium,pot,Float64,
Hemoglobin,hemo,Float64,
Packed Cell Volume,pcv,Int64,
White Blood Cell Count,wbcc,Int64,
Red Blood Cell Count,rbcc,Float64,
Hypertension,htn,Nominal,yes/no
Diabetes Mellitus,dm,Nominal,yes/no
Coronary Artery Disease,cad,Nominal,yes/no
Appetite,appet,Nominal,good/poor
Pedal Edema,pe,Nominal,yes/no
Anemia,ane,Nominal,yes/no
Class,class,Nominal,ckd/notckd
